*****************************
Basic coeficients
*****************************
Alpha, Cd
   5.000    ,    .7737E-02,    .6526E-02,    .3818E-02,    .1909E-02,     .000    ,   -.1909E-02,   -.3818E-02,   -.6526E-02,   -.7737E-02
   8.000    ,    .1107E-01,    .9337E-02,    .5462E-02,    .2731E-02,     .000    ,   -.2731E-02,   -.5462E-02,   -.9337E-02,   -.1107E-01
   10.00    ,    .1329E-01,    .1121E-01,    .6558E-02,    .3279E-02,     .000    ,   -.3279E-02,   -.6558E-02,   -.1121E-01,   -.1329E-01
   12.00    ,    .1499E-01,    .1264E-01,    .7395E-02,    .3697E-02,     .000    ,   -.3697E-02,   -.7395E-02,   -.1264E-01,   -.1499E-01
   14.00    ,    .1635E-01,    .1379E-01,    .8067E-02,    .4033E-02,     .000    ,   -.4033E-02,   -.8067E-02,   -.1379E-01,   -.1635E-01
   16.00    ,    .1730E-01,    .1459E-01,    .8538E-02,    .4269E-02,     .000    ,   -.4269E-02,   -.8538E-02,   -.1459E-01,   -.1730E-01
   18.00    ,    .1752E-01,    .1478E-01,    .8645E-02,    .4322E-02,     .000    ,   -.4322E-02,   -.8645E-02,   -.1478E-01,   -.1752E-01

Plain flap aileron
DeltaAil, Cl
  -64.00    ,   -.9430E-01
  -40.00    ,   -.7954E-01
  -20.00    ,   -.4653E-01
  -10.00    ,   -.2327E-01
    .000    ,     .000    
   10.00    ,    .2327E-01
   20.00    ,    .4653E-01
   40.00    ,    .7954E-01
   64.00    ,    .9430E-01

*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -14.00    ,    .8114E-02,    .4934E-02,    .2145E-02,   -.3645E-05,   -.1501E-02,   -.2357E-02,   -.2559E-02,   -.2557E-02
  -12.00    ,    .7166E-02,    .4287E-02,    .1822E-02,   -.2998E-05,   -.1178E-02,   -.1711E-02,   -.1726E-02,   -.1559E-02
